age group desc,birth count,birth count_pct,county name,low birth weight ind desc,sort,year desc
15 to 17,34,100.0,Clermont,Total,15413,2011
35 to 39,255,100.0,Clermont,Total,15428,2011
20 to 24,524,100.0,Clark,Total,15386,2011
20 to 24,57,86.4,Putnam,Normal birth weight (2500g+),32281,2016
25 to 29,172,95.6,Putnam,Normal birth weight (2500g+),32284,2016
15 to 17,*,*,Richland,Normal birth weight (2500g+),32308,2016
40 to 44,2,10.0,Richland,Low birth weight (<2500g),32325,2016
30 to 34,11,9.4,Putnam,Low birth weight (<2500g),32286,2016
Unknown,0,0.0,Richland,Normal birth weight (2500g+),32335,2016
15 to 17,1,4.8,Richland,Low birth weight (<2500g),32307,2016
45 and older,*,*,Richland,Normal birth weight (2500g+),32329,2016
Less than 15,0,0.0,Richland,Normal birth weight (2500g+),32332,2016
45 and older,0,0.0,Richland,Low birth weight (<2500g),32328,2016
30 to 34,234,93.2,Richland,Normal birth weight (2500g+),32320,2016
40 to 44,*,*,Richland,Normal birth weight (2500g+),32326,2016
20 to 24,20,8.2,Ross,Low birth weight (<2500g),32346,2016
15 to 17,*,*,Putnam,Normal birth weight (2500g+),32275,2016
25 to 29,29,10.9,Ross,Low birth weight (<2500g),32349,2016
35 to 39,99,90.0,Richland,Normal birth weight (2500g+),32323,2016
15 to 17,*,*,Clinton,Total,15446,2011
45 and older,*,*,Columbiana,Total,15500,2011
30 to 34,259,100.0,Clark,Total,15392,2011
40 to 44,49,100.0,Clermont,Total,15431,2011
35 to 39,40,100.0,Clinton,Total,15461,2011
20 to 24,163,100.0,Clinton,Total,15452,2011
Unknown,0,0.0,Clark,Total,15407,2011
25 to 29,688,100.0,Clermont,Total,15422,2011
Less than 15,*,*,Clinton,Total,15470,2011
25 to 29,309,100.0,Columbiana,Total,15488,2011
Unknown,0,0.0,Clermont,Total,15440,2011
15 to 17,*,*,Coshocton,Total,15512,2011
40 to 44,*,*,Columbiana,Total,15497,2011
Unknown,0,0.0,Clinton,Total,15473,2011
25 to 29,138,100.0,Clinton,Total,15455,2011
30 to 34,576,100.0,Clermont,Total,15425,2011
45 and older,*,*,Clermont,Total,15434,2011
Less than 15,*,*,Clermont,Total,15437,2011
25 to 29,143,100.0,Coshocton,Total,15521,2011
15 to 17,29,100.0,Columbiana,Total,15479,2011
30 to 34,198,100.0,Columbiana,Total,15491,2011
30 to 34,78,100.0,Coshocton,Total,15524,2011
20 to 24,152,100.0,Crawford,Total,15551,2011
18 to 19,85,100.0,Columbiana,Total,15482,2011
40 to 44,*,*,Clinton,Total,15464,2011
35 to 39,25,100.0,Crawford,Total,15560,2011
45 and older,0,0.0,Coshocton,Total,15533,2011
15 to 17,403,100.0,Cuyahoga,Total,15578,2011
Less than 15,*,*,Crawford,Total,15569,2011
20 to 24,178,100.0,Darke,Total,15617,2011
40 to 44,*,*,Darke,Total,15629,2011
25 to 29,145,100.0,Crawford,Total,15554,2011
Less than 15,*,*,Coshocton,Total,15536,2011
18 to 19,29,100.0,Coshocton,Total,15515,2011
45 and older,0,0.0,Crawford,Total,15566,2011
15 to 17,*,*,Crawford,Total,15545,2011
45 and older,*,*,Darke,Total,15632,2011
Unknown,0,0.0,Crawford,Total,15572,2011
35 to 39,84,100.0,Columbiana,Total,15494,2011
20 to 24,171,100.0,Coshocton,Total,15518,2011
18 to 19,31,100.0,Crawford,Total,15548,2011
Unknown,0,0.0,Cuyahoga,Total,15605,2011
18 to 19,43,100.0,Darke,Total,15614,2011
35 to 39,1,796,Cuyahoga,Total,100,2011
18 to 19,1,063,Cuyahoga,Total,100,2011
20 to 24,331,100.0,Columbiana,Total,15485,2011
40 to 44,*,*,Crawford,Total,15563,2011
35 to 39,33,100.0,Coshocton,Total,15527,2011
Less than 15,*,*,Columbiana,Total,15503,2011
Unknown,0,0.0,Columbiana,Total,15506,2011
45 and older,*,*,Cuyahoga,Total,15599,2011
30 to 34,90,100.0,Crawford,Total,15557,2011
20 to 24,3,571,Cuyahoga,Total,100,2011
40 to 44,*,*,Coshocton,Total,15530,2011
45 and older,0,0.0,Clinton,Total,15467,2011
Less than 15,*,*,Darke,Total,15635,2011
15 to 17,*,*,Darke,Total,15611,2011
30 to 34,3,789,Cuyahoga,Total,100,2011
Less than 15,0,0.0,Delaware,Total,15701,2011
Unknown,0,0.0,Coshocton,Total,15539,2011
35 to 39,37,100.0,Defiance,Total,15659,2011
Less than 15,0,0.0,Defiance,Total,15668,2011
15 to 17,*,*,Erie,Total,15710,2011
Less than 15,*,*,Cuyahoga,Total,15602,2011
30 to 34,89,100.0,Defiance,Total,15656,2011
30 to 34,847,100.0,Delaware,Total,15689,2011
35 to 39,386,100.0,Delaware,Total,15692,2011
25 to 29,222,100.0,Erie,Total,15719,2011
Unknown,0,0.0,Darke,Total,15638,2011
40 to 44,*,*,Erie,Total,15728,2011
20 to 24,137,100.0,Defiance,Total,15650,2011
15 to 17,*,*,Defiance,Total,15644,2011
18 to 19,60,100.0,Erie,Total,15713,2011
18 to 19,41,100.0,Delaware,Total,15680,2011
25 to 29,3,914,Cuyahoga,Total,100,2011
20 to 24,214,100.0,Erie,Total,15716,2011
15 to 17,*,*,Delaware,Total,15677,2011
30 to 34,139,100.0,Darke,Total,15623,2011
25 to 29,141,100.0,Defiance,Total,15653,2011
40 to 44,384,100.0,Cuyahoga,Total,15596,2011
15 to 17,28,100.0,Fairfield,Total,15743,2011
35 to 39,34,100.0,Darke,Total,15626,2011
30 to 34,155,100.0,Erie,Total,15722,2011
45 and older,0,0.0,Defiance,Total,15665,2011
25 to 29,548,100.0,Delaware,Total,15686,2011
40 to 44,*,*,Defiance,Total,15662,2011
25 to 29,188,100.0,Darke,Total,15620,2011
18 to 19,35,100.0,Defiance,Total,15647,2011
25 to 29,529,100.0,Fairfield,Total,15752,2011
40 to 44,66,100.0,Delaware,Total,15695,2011
Unknown,0,0.0,Defiance,Total,15671,2011
Less than 15,*,*,Fairfield,Total,15767,2011
45 and older,*,*,Fairfield,Total,15764,2011
18 to 19,32,100.0,Fayette,Total,15779,2011
35 to 39,*,*,Fayette,Total,15791,2011
35 to 39,73,100.0,Erie,Total,15725,2011
30 to 34,422,100.0,Fairfield,Total,15755,2011
30 to 34,60,100.0,Fayette,Total,15788,2011
40 to 44,42,100.0,Fairfield,Total,15761,2011
Unknown,0,0.0,Delaware,Total,15704,2011
18 to 19,100,100.0,Fairfield,Total,15746,2011
45 and older,*,*,Erie,Total,15731,2011
25 to 29,118,100.0,Fayette,Total,15785,2011
35 to 39,149,100.0,Fairfield,Total,15758,2011
25 to 29,5,198,Franklin,Total,100,2011
Unknown,0,0.0,Fayette,Total,15803,2011
45 and older,0,0.0,Fayette,Total,15797,2011
18 to 19,959,100.0,Franklin,Total,15812,2011
20 to 24,3,912,Franklin,Total,100,2011
15 to 17,*,*,Fayette,Total,15776,2011
Less than 15,0,0.0,Fulton,Total,15866,2011
20 to 24,174,100.0,Delaware,Total,15683,2011
40 to 44,*,*,Fulton,Total,15860,2011
30 to 34,5,014,Franklin,Total,100,2011
45 and older,40,100.0,Franklin,Total,15830,2011
20 to 24,404,100.0,Fairfield,Total,15749,2011
40 to 44,449,100.0,Franklin,Total,15827,2011
Unknown,0,0.0,Fairfield,Total,15770,2011
Unknown,0,0.0,Fulton,Total,15869,2011
20 to 24,121,100.0,Fayette,Total,15782,2011
Less than 15,*,*,Erie,Total,15734,2011
Less than 15,0,0.0,Fayette,Total,15800,2011
30 to 34,113,100.0,Fulton,Total,15854,2011
45 and older,*,*,Delaware,Total,15698,2011
Unknown,0,0.0,Erie,Total,15737,2011
15 to 17,*,*,Fulton,Total,15842,2011
18 to 19,*,*,Fulton,Total,15845,2011
40 to 44,*,*,Gallia,Total,15893,2011
40 to 44,*,*,Fayette,Total,15794,2011
35 to 39,2,037,Franklin,Total,100,2011
Less than 15,*,*,Franklin,Total,15833,2011
15 to 17,382,100.0,Franklin,Total,15809,2011
20 to 24,132,100.0,Gallia,Total,15881,2011
20 to 24,124,100.0,Fulton,Total,15848,2011
30 to 34,76,100.0,Gallia,Total,15887,2011
15 to 17,*,*,Gallia,Total,15875,2011
18 to 19,*,*,Geauga,Total,15911,2011
45 and older,0,0.0,Geauga,Total,15929,2011
15 to 17,28,100.0,Greene,Total,15941,2011
Unknown,0,0.0,Franklin,Total,15836,2011
25 to 29,156,100.0,Fulton,Total,15851,2011
35 to 39,35,100.0,Fulton,Total,15857,2011
45 and older,0,0.0,Gallia,Total,15896,2011
Unknown,0,0.0,Geauga,Total,15935,2011
15 to 17,*,*,Geauga,Total,15908,2011
20 to 24,396,100.0,Greene,Total,15947,2011
35 to 39,*,*,Gallia,Total,15890,2011
18 to 19,31,100.0,Gallia,Total,15878,2011
25 to 29,233,100.0,Geauga,Total,15917,2011
18 to 19,101,100.0,Greene,Total,15944,2011
Less than 15,*,*,Greene,Total,15965,2011
20 to 24,166,100.0,Geauga,Total,15914,2011
Less than 15,0,0.0,Gallia,Total,15899,2011
Less than 15,0,0.0,Geauga,Total,15932,2011
Unknown,0,0.0,Gallia,Total,15902,2011
30 to 34,271,100.0,Geauga,Total,15920,2011
25 to 29,573,100.0,Greene,Total,15950,2011
35 to 39,147,100.0,Geauga,Total,15923,2011
30 to 34,440,100.0,Greene,Total,15953,2011
45 and older,0,0.0,Fulton,Total,15863,2011
40 to 44,38,100.0,Geauga,Total,15926,2011
25 to 29,113,100.0,Gallia,Total,15884,2011
Unknown,0,0.0,Guernsey,Total,16001,2011
40 to 44,48,100.0,Greene,Total,15959,2011
35 to 39,182,100.0,Greene,Total,15956,2011
45 and older,*,*,Greene,Total,15962,2011
40 to 44,229,100.0,Hamilton,Total,16025,2011
35 to 39,38,100.0,Guernsey,Total,15989,2011
Less than 15,*,*,Hamilton,Total,16031,2011
15 to 17,*,*,Guernsey,Total,15974,2011
25 to 29,140,100.0,Guernsey,Total,15983,2011
45 and older,*,*,Guernsey,Total,15995,2011
30 to 34,72,100.0,Guernsey,Total,15986,2011
40 to 44,*,*,Hancock,Total,16058,2011
18 to 19,33,100.0,Guernsey,Total,15977,2011
Less than 15,0,0.0,Guernsey,Total,15998,2011
45 and older,*,*,Hamilton,Total,16028,2011
Unknown,0,0.0,Greene,Total,15968,2011
15 to 17,257,100.0,Hamilton,Total,16007,2011
20 to 24,2,697,Hamilton,Total,100,2011
25 to 29,3,269,Hamilton,Total,100,2011
35 to 39,1,136,Hamilton,Total,100,2011
20 to 24,157,100.0,Guernsey,Total,15980,2011
30 to 34,56,100.0,Hardin,Total,16085,2011
40 to 44,*,*,Guernsey,Total,15992,2011
30 to 34,2,755,Hamilton,Total,100,2011
18 to 19,683,100.0,Hamilton,Total,16010,2011
30 to 34,190,100.0,Hancock,Total,16052,2011
Unknown,0,0.0,Hamilton,Total,16034,2011
45 and older,0,0.0,Harrison,Total,16127,2011
35 to 39,77,100.0,Hancock,Total,16055,2011
Unknown,0,0.0,Hardin,Total,16100,2011
18 to 19,51,100.0,Hancock,Total,16043,2011
15 to 17,*,*,Hardin,Total,16073,2011
15 to 17,*,*,Hancock,Total,16040,2011
15 to 17,*,*,Harrison,Total,16106,2011
35 to 39,28,100.0,Hardin,Total,16088,2011
15 to 17,*,*,Henry,Total,16139,2011
20 to 24,*,*,Harrison,Total,16112,2011
18 to 19,*,*,Henry,Total,16142,2011
20 to 24,224,100.0,Hancock,Total,16046,2011
45 and older,*,*,Hancock,Total,16061,2011
40 to 44,0,0.0,Harrison,Total,16124,2011
20 to 24,83,100.0,Henry,Total,16145,2011
25 to 29,119,100.0,Hardin,Total,16082,2011
25 to 29,307,100.0,Hancock,Total,16049,2011
45 and older,*,*,Henry,Total,16160,2011
20 to 24,38,9.0,Warren,Low birth weight (<2500g),2712,2006
15 to 17,*,*,Washington,Low birth weight (<2500g),2739,2006
Unknown,0,0.0,Washington,Normal birth weight (2500g+),2767,2006
25 to 29,45,5.7,Warren,Low birth weight (<2500g),2715,2006
Unknown,0,0.0,Washington,Low birth weight (<2500g),2766,2006
40 to 44,5,6.6,Warren,Low birth weight (<2500g),2724,2006
Unknown,0,0.0,Vinton,Normal birth weight (2500g+),2701,2006
18 to 19,2,3.7,Washington,Low birth weight (<2500g),2742,2006
20 to 24,385,91.0,Warren,Normal birth weight (2500g+),2713,2006
Unknown,0,0.0,Warren,Normal birth weight (2500g+),2734,2006
35 to 39,9,5.8,Wayne,Low birth weight (<2500g),2787,2006
Less than 15,0,0.0,Erie,Total,6725,2008
40 to 44,*,*,Erie,Total,6719,2008
18 to 19,75,100.0,Erie,Total,6704,2008
40 to 44,*,*,Fayette,Total,6785,2008
Unknown,0,0.0,Fairfield,Total,6761,2008
15 to 17,544,100.0,Franklin,Total,6800,2008
25 to 29,5,416,Franklin,Total,100,2008
20 to 24,249,100.0,Erie,Total,6707,2008
18 to 19,127,100.0,Fairfield,Total,6737,2008
35 to 39,166,100.0,Fairfield,Total,6749,2008
25 to 29,116,100.0,Fayette,Total,6776,2008
30 to 34,67,100.0,Fayette,Total,6779,2008
45 and older,0,0.0,Fayette,Total,6788,2008
35 to 39,*,*,Fayette,Total,6782,2008
40 to 44,*,*,Shelby,Total,26486,2014
25 to 29,8,5.8,Perry,Low birth weight (<2500g),32118,2016
30 to 34,0,0.0,NonOH,Total,8924,2008
18 to 19,45,100.0,Pickaway,Total,11126,2009
18 to 19,53,100.0,Pike,Total,11159,2009
40 to 44,29,100.0,Portage,Total,11207,2009
25 to 29,440,100.0,Portage,Total,11198,2009
25 to 29,163,100.0,Pickaway,Total,11132,2009
40 to 44,*,*,Pike,Total,11174,2009
40 to 44,*,*,Jackson,Total,25331,2014
40 to 44,*,*,Holmes,Total,25265,2014
Unknown,0,0.0,Huron,Total,25307,2014
15 to 17,*,*,Holmes,Total,25247,2014
35 to 39,56,100.0,Jefferson,Total,25361,2014
30 to 34,125,100.0,Jefferson,Total,25358,2014
Less than 15,*,*,Huron,Total,25304,2014
15 to 17,*,*,Jefferson,Total,25346,2014
40 to 44,*,*,Jefferson,Total,25364,2014
25 to 29,113,100.0,Jackson,Total,25322,2014
Less than 15,0,0.0,Jefferson,Total,25370,2014
15 to 17,*,*,Jackson,Total,25313,2014
20 to 24,210,100.0,Jefferson,Total,25352,2014
30 to 34,72,100.0,Jackson,Total,25325,2014
45 and older,*,*,Holmes,Total,25268,2014
Unknown,0,0.0,Jackson,Total,25340,2014
18 to 19,34,100.0,Knox,Total,25382,2014
40 to 44,*,*,Knox,Total,25397,2014
18 to 19,7,14.3,Gallia,Low birth weight (<2500g),861,2006
30 to 34,117,100.0,Lawrence,Total,34466,2017 **
Unknown,0,0.0,Unknown,Normal birth weight (2500g+),14977,2010
25 to 29,78,87.6,Adams,Normal birth weight (2500g+),15025,2011
Less than 15,0,0.0,Adams,Low birth weight (<2500g),15039,2011
15 to 17,*,*,Adams,Normal birth weight (2500g+),15016,2011
15 to 17,37,92.5,Allen,Normal birth weight (2500g+),15049,2011
Unknown,0,0.0,Adams,Normal birth weight (2500g+),15043,2011
40 to 44,*,*,Adams,Normal birth weight (2500g+),15034,2011
45 and older,0,0.0,Adams,Low birth weight (<2500g),15036,2011
20 to 24,117,90.7,Adams,Normal birth weight (2500g+),15022,2011
35 to 39,74,93.7,Allen,Normal birth weight (2500g+),15064,2011
20 to 24,390,93.3,Allen,Normal birth weight (2500g+),15055,2011
35 to 39,1,5.3,Adams,Low birth weight (<2500g),15030,2011
25 to 29,11,12.4,Adams,Low birth weight (<2500g),15024,2011
35 to 39,*,*,Adams,Normal birth weight (2500g+),15031,2011
18 to 19,9,8.7,Allen,Low birth weight (<2500g),15051,2011
18 to 19,94,91.3,Allen,Normal birth weight (2500g+),15052,2011
45 and older,0,0.0,Allen,Low birth weight (<2500g),15069,2011
40 to 44,*,*,Adams,Low birth weight (<2500g),15033,2011
18 to 19,*,*,Ashland,Normal birth weight (2500g+),15085,2011
40 to 44,2,11.1,Allen,Low birth weight (<2500g),15066,2011
20 to 24,28,6.7,Allen,Low birth weight (<2500g),15054,2011
Unknown,0,0.0,Allen,Low birth weight (<2500g),15075,2011
30 to 34,18,7.5,Allen,Low birth weight (<2500g),15060,2011
25 to 29,14,6.6,Ashland,Low birth weight (<2500g),15090,2011
25 to 29,28,7.6,Allen,Low birth weight (<2500g),15057,2011
Less than 15,0,0.0,Allen,Low birth weight (<2500g),15072,2011
30 to 34,9,7.9,Ashland,Low birth weight (<2500g),15093,2011
30 to 34,223,92.5,Allen,Normal birth weight (2500g+),15061,2011
Less than 15,*,*,Allen,Normal birth weight (2500g+),15073,2011
25 to 29,198,93.4,Ashland,Normal birth weight (2500g+),15091,2011
30 to 34,105,92.1,Ashland,Normal birth weight (2500g+),15094,2011
15 to 17,*,*,Ashland,Normal birth weight (2500g+),15082,2011
Less than 15,0,0.0,Auglaize,Low birth weight (<2500g),15204,2011
18 to 19,2,4.0,Belmont,Low birth weight (<2500g),15216,2011
20 to 24,125,94.7,Auglaize,Normal birth weight (2500g+),15187,2011
15 to 17,0,0.0,Athens,Low birth weight (<2500g),15147,2011
25 to 29,174,96.1,Auglaize,Normal birth weight (2500g+),15190,2011
40 to 44,*,*,Auglaize,Normal birth weight (2500g+),15199,2011
Unknown,0,0.0,Auglaize,Low birth weight (<2500g),15207,2011
40 to 44,*,*,Auglaize,Low birth weight (<2500g),15198,2011
Unknown,0,0.0,Auglaize,Normal birth weight (2500g+),15208,2011
15 to 17,2,9.5,Belmont,Low birth weight (<2500g),15213,2011
35 to 39,38,95.0,Auglaize,Normal birth weight (2500g+),15196,2011
25 to 29,7,3.9,Auglaize,Low birth weight (<2500g),15189,2011
20 to 24,214,92.6,Belmont,Normal birth weight (2500g+),15220,2011
35 to 39,2,5.0,Auglaize,Low birth weight (<2500g),15195,2011
30 to 34,119,93.0,Auglaize,Normal birth weight (2500g+),15193,2011
25 to 29,9,4.2,Belmont,Low birth weight (<2500g),15222,2011
20 to 24,334,91.3,Greene,Normal birth weight (2500g+),21952,2013
40 to 44,7,17.1,Greene,Low birth weight (<2500g),21963,2013
20 to 24,32,8.7,Greene,Low birth weight (<2500g),21951,2013
Unknown,0,0.0,Miami,Normal birth weight (2500g+),13822,2010
Less than 15,*,*,Miami,Normal birth weight (2500g+),13819,2010
20 to 24,47,87.0,Monroe,Normal birth weight (2500g+),13834,2010
18 to 19,468,89.5,Montgomery,Normal birth weight (2500g+),13864,2010
18 to 19,55,10.5,Montgomery,Low birth weight (<2500g),13863,2010
40 to 44,*,*,Miami,Normal birth weight (2500g+),13813,2010
Unknown,0,0.0,Monroe,Low birth weight (<2500g),13854,2010
40 to 44,1,4.8,Miami,Low birth weight (<2500g),13812,2010
30 to 34,1,3.2,Monroe,Low birth weight (<2500g),13839,2010
30 to 34,30,96.8,Monroe,Normal birth weight (2500g+),13840,2010
40 to 44,*,*,Monroe,Normal birth weight (2500g+),13846,2010
35 to 39,0,0.0,Monroe,Low birth weight (<2500g),13842,2010
45 and older,0,0.0,Monroe,Low birth weight (<2500g),13848,2010
Less than 15,*,*,Monroe,Normal birth weight (2500g+),13852,2010
30 to 34,1,269,Montgomery,Normal birth weight (2500g+),90,2010
25 to 29,181,8.7,Montgomery,Low birth weight (<2500g),13869,2010
35 to 39,*,*,Monroe,Normal birth weight (2500g+),13843,2010
40 to 44,0,0.0,Monroe,Low birth weight (<2500g),13845,2010
30 to 34,239,91.6,Miami,Normal birth weight (2500g+),13807,2010
Less than 15,0,0.0,Monroe,Low birth weight (<2500g),13851,2010
Less than 15,*,*,Montgomery,Low birth weight (<2500g),13884,2010
45 and older,0,0.0,Monroe,Normal birth weight (2500g+),13849,2010
20 to 24,57,90.5,Morgan,Normal birth weight (2500g+),13900,2010
25 to 29,43,93.5,Morgan,Normal birth weight (2500g+),13903,2010
Unknown,0,0.0,Montgomery,Low birth weight (<2500g),13887,2010
15 to 17,175,87.5,Montgomery,Normal birth weight (2500g+),13861,2010
18 to 19,*,*,Morgan,Normal birth weight (2500g+),13897,2010
45 and older,*,*,Montgomery,Low birth weight (<2500g),13881,2010
30 to 34,129,9.2,Montgomery,Low birth weight (<2500g),13872,2010
35 to 39,54,9.6,Montgomery,Low birth weight (<2500g),13875,2010
20 to 24,179,9.6,Montgomery,Low birth weight (<2500g),13866,2010
35 to 39,*,*,Morgan,Normal birth weight (2500g+),13909,2010
20 to 24,1,693,Montgomery,Normal birth weight (2500g+),90,2010
35 to 39,*,*,Morgan,Low birth weight (<2500g),13908,2010
Less than 15,0,0.0,Morgan,Low birth weight (<2500g),13917,2010
Unknown,0,0.0,Monroe,Normal birth weight (2500g+),13855,2010
25 to 29,1,891,Montgomery,Normal birth weight (2500g+),91,2010
15 to 17,1,7.7,Morrow,Low birth weight (<2500g),13926,2010
Unknown,0,0.0,Montgomery,Normal birth weight (2500g+),13888,2010
15 to 17,*,*,Morgan,Low birth weight (<2500g),13893,2010
25 to 29,203,100.0,Union,Total,29645,2015
Less than 15,0,0.0,Warren,Total,29759,2015
15 to 17,*,*,Union,Total,29636,2015
25 to 29,108,100.0,Van Wert,Total,29678,2015
35 to 39,27,100.0,Van Wert,Total,29684,2015
15 to 17,*,*,Van Wert,Total,29669,2015
45 and older,0,0.0,Van Wert,Total,29690,2015
45 and older,0,0.0,Union,Total,29657,2015
45 and older,0,0.0,Vinton,Total,29723,2015
20 to 24,354,100.0,Warren,Total,29741,2015
35 to 39,*,*,Vinton,Total,29717,2015
30 to 34,784,100.0,Warren,Total,29747,2015
20 to 24,*,*,Vinton,Total,29708,2015
30 to 34,*,*,Vinton,Total,29714,2015
35 to 39,372,100.0,Warren,Total,29750,2015
45 and older,*,*,Warren,Total,29756,2015
25 to 29,216,100.0,Washington,Total,29777,2015
18 to 19,*,*,Vinton,Total,29705,2015
Unknown,0,0.0,Warren,Total,29762,2015
25 to 29,690,100.0,Warren,Total,29744,2015
15 to 17,*,*,Warren,Total,29735,2015
18 to 19,34,100.0,Washington,Total,29771,2015
20 to 24,170,100.0,Washington,Total,29774,2015
Unknown,0,0.0,Vinton,Total,29729,2015
25 to 29,393,100.0,Tuscarawas,Total,29612,2015
40 to 44,*,*,Vinton,Total,29720,2015
40 to 44,62,100.0,Warren,Total,29753,2015
Less than 15,0,0.0,Union,Total,29660,2015
15 to 17,*,*,Wayne,Total,29801,2015
25 to 29,521,100.0,Wayne,Total,29810,2015
Less than 15,0,0.0,Williams,Total,29858,2015
15 to 17,*,*,Washington,Total,29768,2015
Less than 15,*,*,Vinton,Total,29726,2015
18 to 19,73,100.0,Warren,Total,29738,2015
40 to 44,39,100.0,Wayne,Total,29819,2015
20 to 24,373,100.0,Wayne,Total,29807,2015
30 to 34,426,100.0,Wayne,Total,29813,2015
Unknown,0,0.0,Van Wert,Total,29696,2015
20 to 24,134,100.0,Williams,Total,29840,2015
Less than 15,0,0.0,Washington,Total,29792,2015
35 to 39,172,100.0,Wayne,Total,29816,2015
30 to 34,143,100.0,Washington,Total,29780,2015
40 to 44,*,*,Washington,Total,29786,2015
20 to 24,262,100.0,Wood,Total,29873,2015
18 to 19,*,*,Williams,Total,29837,2015
25 to 29,142,100.0,Williams,Total,29843,2015
Less than 15,0,0.0,Wayne,Total,29825,2015
45 and older,0,0.0,Washington,Total,29789,2015
Unknown,0,0.0,Williams,Total,29861,2015
18 to 19,44,100.0,Wood,Total,29870,2015
Unknown,0,0.0,Wayne,Total,29828,2015
30 to 34,382,100.0,Wood,Total,29879,2015
40 to 44,29,100.0,Wood,Total,29885,2015
Unknown,0,0.0,Washington,Total,29795,2015
15 to 17,*,*,Williams,Total,29834,2015
25 to 29,*,*,Wyandot,Total,29909,2015
35 to 39,36,100.0,Washington,Total,29783,2015
45 and older,*,*,Wayne,Total,29822,2015
40 to 44,0,0.0,Williams,Total,29852,2015
30 to 34,93,100.0,Williams,Total,29846,2015
25 to 29,493,100.0,Wood,Total,29876,2015
18 to 19,51,100.0,Wayne,Total,29804,2015
35 to 39,36,100.0,Williams,Total,29849,2015
45 and older,0,0.0,Williams,Total,29855,2015
20 to 24,*,*,Wyandot,Total,29906,2015
Less than 15,*,*,Wood,Total,29891,2015
15 to 17,*,*,Wood,Total,29867,2015
Unknown,0,0.0,Wood,Total,29894,2015
15 to 17,*,*,Wyandot,Total,29900,2015
35 to 39,148,100.0,Wood,Total,29882,2015
40 to 44,*,*,Wyandot,Total,29918,2015
20 to 24,*,*,Unknown,Total,29972,2015
30 to 34,*,*,Unknown,Total,29978,2015
30 to 34,*,*,Wyandot,Total,29912,2015
Unknown,0,0.0,Wyandot,Total,29927,2015
45 and older,0,0.0,Wyandot,Total,29921,2015
18 to 19,2,6.5,Morrow,Low birth weight (<2500g),13929,2010
40 to 44,91,90.1,Montgomery,Normal birth weight (2500g+),13879,2010
40 to 44,*,*,Morgan,Normal birth weight (2500g+),13912,2010
15 to 17,*,*,Morgan,Normal birth weight (2500g+),13894,2010
25 to 29,*,*,Morgan,Low birth weight (<2500g),13902,2010
Unknown,0,0.0,Morgan,Normal birth weight (2500g+),13921,2010
